,Unnamed: 0,thing_id,thing_name,clep_id,thing_latitude,thing_longitude,Client Name,Partner Name,City,status,runhour,fuel
362,362,7845,KCMZH01023,1304,22.936777,76.007771,Shri Amba Forge Pvt Ltd,Mahindra Powerol,Dewas,False,NA,NA
363,363,7846,20633 - Jayanagar 5th Block,1163,12.91801,77.58586,MPS,Murari Power,Bengaluru,True,NA,NA
364,364,7847,KELZE00487,1305,23.401738,85.363515,FREYA HEALTHCARE SERVICES PRIVATE LIMITED,Mahindra Powerol,Ranchi,False,NA,NA
365,365,7848,dg2,1298,0.0,0.0,Test 1 GPH,Generator And Plant Hire (SA) Pty Ltd,,False,NA,NA
366,366,7851,KEMZC00855,1279,17.452627,78.3672664,Manbhum Constructions Pvt Ltd,Mahindra Powerol,Hyderabad,True,NA,NA
367,367,7852,KEMZB00810,1279,17.4525942,78.3672664,Manbhum Constructions Pvt Ltd,Mahindra Powerol,Hyderabad,True,NA,NA
368,368,7853,40269 - Jayanagar SMC,1163,12.92623,77.58325,MPS,Murari Power,Bengaluru,True,NA,NA
369,369,7855,KEMZD00893,1306,29.469241,77.707345,SUNNY RETAIL ENTERPRISES(More Shop),Mahindra Powerol,Muzaffarnagar,True,NA,NA
370,370,7857,KEMZA00764,1307,21.494295,86.935255,Executive Engineer R B Division,Mahindra Powerol,,False,NA,NA
371,371,7858,CAT Mantrac VI,1308,6.42432,3.4276,Mantrac Nigeria Ltd.,Eonsfleet Prosolutions Ltd.,,False,NA,NA
372,372,7859,"Jhandewalaan, New delhi",1058,0.0,0.0,Perfect Generator Technologies Pvt Ltd,Perfect Generator Technologies,,False,NA,NA
373,373,7860,Mahadevapura II - TATA 1mG,1163,12.99895,77.70135,MPS,Murari Power,Bengaluru,True,NA,NA
374,374,7861,V K Enterprises Gurugram,1309,28.448189,77.000042,M/s V.K.ENTERPRISES Gurugram,GSP Power Projects,Gurugram,False,NA,NA
375,375,7862,KCLZH00564,1310,29.931096,77.820914,GAWAR CONSTRUCTION LTD(Welspon),Mahindra Powerol,,False,NA,NA
376,376,7863,KCLZG00534,1312,30.040891,77.387873,GAWAR CONSTRUCTION LTD(Welspun),Mahindra Powerol,,False,NA,NA
377,377,7864,Malhotra & Tyagi Associates Gurugram sector 39,1311,28.438185,77.04567,Malhotra & Tyagi Associates,GSP Power Projects,Gurugram,False,NA,NA
378,378,7865,N2P20X08597,1313,26.9897638,77.5904178,Anoop Kumar Goyal,Mahindra Powerol,,False,NA,NA
379,379,7866,DELHIVERY DEG-1 gc315,1281,12.959484,77.8215834,Sahni Traders,Phoenix Robotix,,False,NA,NA
380,380,7867,RMS(26517),1119,0.0,0.0,Sumit Juneja,Perfect Generator Technologies,,False,NA,NA
381,381,7868,Royborasmber odisa,1157,0.0,0.0,M/s Goodwill Enterprise/DEB Enterprise,Genset India,,False,NA,NA
382,382,7869,41206 - Subhashnagar,1163,13.02292,77.696,MPS,Murari Power,Bengaluru,True,NA,NA
383,383,7870,cummins 500 kva DG NO.53,1171,0.0,0.0,Maruti,Maruti Hiring,,False,NA,NA
384,384,7875,Shubham Engineering 200KVA,1314,28.378679,77.25534,Shubham Engineering Faridabad,GSP Power Projects,,False,NA,NA
385,385,7881,4563240,1315,0.0,0.0,Adamco Power,Ojus Power,,False,NA,NA
386,386,7882,a654re32,1315,0.0,0.0,Adamco Power,Ojus Power,,False,NA,NA
387,387,7883,FF Startup IoN Digital,1316,30.309571,76.84088,FF Startup ,Kohler Power India,,False,NA,NA
388,388,7884,MDI Ambala 320KVA,1317,0.0,0.0,MDI Ambala,Kohler Power India,,False,NA,NA
